tt0000001|5.6|1586
tt0000002|6.1|189
tt0000003|6.5|1245
tt0000004|6.2|117
tt0000005|6.1|1991
tt0000006|5.2|108
tt0000007|5.4|626
tt0000008|5.4|1715
tt0000009|5.4|86
tt0000010|6.9|5661
tt0000011|5.2|245
tt0000012|7.4|9664
tt0000013|5.7|1486
tt0000014|7.1|4213
tt0000015|6.1|761
tt0000016|5.9|1120
tt0000017|4.7|225
tt0000018|5.3|457
tt0000019|5.5|17
tt0000020|5|255
tt0000022|5.1|833
tt0000023|5.6|1063
tt0000024|4.9|33
tt0000025|4.4|25
tt0000026|5.6|1255
tt0000027|5.5|877
tt0000028|5.1|803
tt0000029|5.9|2698
tt0000030|5.2|656
tt0000031|5.5|778
tt0000032|5.1|324
tt0000033|5.5|811
tt0000034|5.4|119
tt0000035|5.6|52
tt0000036|4.5|466
tt0000037|4.6|39
tt0000038|4.1|141
tt0000039|3.9|13
tt0000040|4.1|35
tt0000041|6.6|1332
tt0000042|4.5|20
tt0000043|4|12
tt0000044|4.6|26
tt0000045|4.4|16
tt0000046|4.2|16
tt0000047|3.6|14
tt0000048|4.9|118
tt0000049|5.3|24
tt0000050|4.2|14
tt0000051|3.9|13
tt0000052|4.6|52
tt0000053|2.8|8
tt0000054|5.2|18
tt0000055|3.8|15
tt0000056|3.4|10
tt0000057|4.4|14
tt0000058|4.1|14
tt0000059|3.7|12
tt0000060|7.8|60
tt0000061|4|13
tt0000062|6.5|153
tt0000063|3.6|11
tt0000064|3.5|12
tt0000065|3.7|12
tt0000066|3.7|12
tt0000067|5.8|40
tt0000068|4|11
tt0000069|4.9|331
tt0000070|6.4|2131
tt0000071|3.7|14
tt0000072|4.2|13
tt0000073|4|11
tt0000074|4.2|15
tt0000075|6.3|1456
tt0000076|4.5|406
tt0000077|4.8|17
tt0000078|4.3|46
tt0000079|4.4|17
tt0000080|4.1|13
tt0000081|4.1|14
tt0000082|4.9|22
tt0000083|4.9|17
tt0000084|4.3|13
tt0000085|4.8|16
tt0000086|4.1|14
tt0000087|4.8|17
tt0000088|4.7|14
tt0000089|6.2|787
tt0000090|4|13
tt0000091|6.7|2575
tt0000092|4.6|11
tt0000093|5|63
tt0000094|4.2|13
tt0000095|4.8|18
tt0000096|4.5|11
tt0000097|4.9|17
tt0000098|5.5|18
tt0000099|4.7|14
tt0000100|4.9|30
tt0000101|4.6|12
tt0000102|4.8|12
tt0000103|5.8|13
tt0000104|5.5|371
tt0000105|5.4|13
tt0000106|4.6|10
tt0000107|5.6|12
tt0000108|4.4|419
tt0000109|4.6|413
tt0000110|4.4|418
tt0000111|4.5|427
tt0000112|4.5|414
tt0000113|4.4|430
tt0000114|5.5|14
tt0000115|5.2|16
tt0000116|5.5|13
tt0000117|5.1|109
tt0000118|5.6|14
tt0000119|5.8|25
tt0000120|5.8|26
tt0000121|4.6|43
tt0000122|5.5|13
tt0000123|5.7|63
tt0000124|5.6|13
tt0000125|4.7|7
tt0000126|5.7|15
tt0000127|4.5|12
tt0000128|5.9|22
tt0000129|6.8|32
tt0000130|5.4|14
tt0000131|5.8|1012
tt0000132|5.1|828
tt0000133|6.7|19
tt0000134|4.7|7
tt0000135|6.9|49
tt0000136|6.3|291
tt0000137|4.5|8
tt0000138|6.5|787
tt0000139|5.4|14
tt0000140|5|217
tt0000141|5.3|53
tt0000142|4.7|10
tt0000143|4.9|195
tt0000144|5.2|213
tt0000146|5.2|12
tt0000147|5.2|326
tt0000149|4.8|10
tt0000150|5.4|99
tt0000151|5.3|29
tt0000152|6.1|162
tt0000153|5.7|299
tt0000154|3.8|8
tt0000155|4.8|13
tt0000156|4.2|10
tt0000157|4.7|6
tt0000158|3.8|6
tt0000159|5.2|56
tt0000160|5.8|8
tt0000161|4.3|6
tt0000162|5.4|384
tt0000164|5|221
tt0000165|5.1|80
tt0000166|4.7|6
tt0000167|4.5|96
tt0000168|3.8|6
tt0000169|4.1|15
tt0000170|5.2|172
tt0000172|6.1|591
tt0000173|4.8|16
tt0000174|4.7|101
tt0000175|5|153
tt0000177|4.6|176
tt0000178|5.4|78
tt0000179|4.4|18
tt0000181|7|31
tt0000182|4.9|451
tt0000183|6.1|14
tt0000184|4.9|242
tt0000186|4.1|12
tt0000187|5.2|32
tt0000190|5.1|112
tt0000192|4.5|126
tt0000194|5.4|64
tt0000196|5.2|14
tt0000197|4.8|8
tt0000198|4.6|8
